Sample_ID;Группа;Result;Rep;Units;Param
S113;Контроль;1,286;17;ед;Оптическая плотность
S113;Контроль;1,278;18;ед;Оптическая плотность
S113;Контроль;1,281;19;ед;Оптическая плотность
S113;Контроль;1,043;20;ед;Оптическая плотность
S113;Контроль;1,255;21;ед;Оптическая плотность
S113;Контроль;1,122;22;ед;Оптическая плотность
S113;Контроль;1,346;23;ед;Оптическая плотность
S113;Контроль;1,167;24;ед;Оптическая плотность
S114;Контроль;1,199;1;ед;Оптическая плотность
S114;Контроль;1,211;2;ед;Оптическая плотность
S114;Контроль;1,231;3;ед;Оптическая плотность
S114;Контроль;1,214;4;ед;Оптическая плотность
S114;Контроль;0,949;5;ед;Оптическая плотность
S114;Контроль;1,173;6;ед;Оптическая плотность
S114;Контроль;1,325;7;ед;Оптическая плотность
S114;Контроль;1,220;8;ед;Оптическая плотность
S114;Контроль;1,175;9;ед;Оптическая плотность
S114;Контроль;1,158;10;ед;Оптическая плотность
S114;Контроль;1,037;11;ед;Оптическая плотность
S114;Контроль;1,217;12;ед;Оптическая плотность
S114;Контроль;1,240;13;ед;Оптическая плотность
S114;Контроль;1,121;14;ед;Оптическая плотность
S114;Контроль;1,131;15;ед;Оптическая плотность
S114;Контроль;1,006;16;ед;Оптическая плотность
S114;Контроль;1,257;17;ед;Оптическая плотность
S114;Контроль;1,208;18;ед;Оптическая плотность
S114;Контроль;1,235;19;ед;Оптическая плотность
S114;Контроль;1,231;20;ед;Оптическая плотность
S114;Контроль;1,233;21;ед;Оптическая плотность
S114;Контроль;1,210;22;ед;Оптическая плотность
S114;Контроль;1,175;23;ед;Оптическая плотность
S114;Контроль;1,023;24;ед;Оптическая плотность
S115;Контроль;1,267;1;ед;Оптическая плотность
S115;Контроль;1,435;2;ед;Оптическая плотность
S115;Контроль;0,939;3;ед;Оптическая плотность
S115;Контроль;1,398;4;ед;Оптическая плотность
S115;Контроль;1,240;5;ед;Оптическая плотность
S115;Контроль;1,270;6;ед;Оптическая плотность
S115;Контроль;1,191;7;ед;Оптическая плотность
S115;Контроль;1,310;8;ед;Оптическая плотность
S115;Контроль;1,074;9;ед;Оптическая плотность
S115;Контроль;1,212;10;ед;Оптическая плотность
S115;Контроль;1,351;11;ед;Оптическая плотность
S115;Контроль;1,299;12;ед;Оптическая плотность
S115;Контроль;1,202;13;ед;Оптическая плотность
S115;Контроль;1,239;14;ед;Оптическая плотность
S115;Контроль;1,221;15;ед;Оптическая плотность
S115;Контроль;1,181;16;ед;Оптическая плотность
S115;Контроль;1,105;17;ед;Оптическая плотность
S115;Контроль;1,441;18;ед;Оптическая плотность
S115;Контроль;1,217;19;ед;Оптическая плотность
S115;Контроль;1,455;20;ед;Оптическая плотность
S115;Контроль;1,308;21;ед;Оптическая плотность
S115;Контроль;1,256;22;ед;Оптическая плотность
S115;Контроль;1,171;23;ед;Оптическая плотность
S115;Контроль;1,330;24;ед;Оптическая плотность
S116;Контроль;1,228;1;ед;Оптическая плотность
S116;Контроль;1,260;2;ед;Оптическая плотность
S116;Контроль;1,343;3;ед;Оптическая плотность
S116;Контроль;1,191;4;ед;Оптическая плотность
S116;Контроль;1,254;5;ед;Оптическая плотность
S116;Контроль;1,437;6;ед;Оптическая плотность
S116;Контроль;1,191;7;ед;Оптическая плотность
S116;Контроль;1,129;8;ед;Оптическая плотность
S116;Контроль;1,389;9;ед;Оптическая плотность
S116;Контроль;1,326;10;ед;Оптическая плотность
S116;Контроль;1,299;11;ед;Оптическая плотность
S116;Контроль;1,263;12;ед;Оптическая плотность
S116;Контроль;1,208;13;ед;Оптическая плотность
S116;Контроль;1,211;14;ед;Оптическая плотность
S116;Контроль;1,199;15;ед;Оптическая плотность
S116;Контроль;1,186;16;ед;Оптическая плотность
S116;Контроль;1,245;17;ед;Оптическая плотность
S116;Контроль;1,208;18;ед;Оптическая плотность
S116;Контроль;1,208;19;ед;Оптическая плотность
S116;Контроль;1,224;20;ед;Оптическая плотность
S116;Контроль;1,351;21;ед;Оптическая плотность
S116;Контроль;1,040;22;ед;Оптическая плотность
S116;Контроль;1,194;23;ед;Оптическая плотность
S116;Контроль;1,272;24;ед;Оптическая плотность
S117;Контроль;1,119;1;ед;Оптическая плотность
S117;Контроль;1,080;2;ед;Оптическая плотность
S117;Контроль;1,449;3;ед;Оптическая плотность
S117;Контроль;1,196;4;ед;Оптическая плотность
S117;Контроль;1,220;5;ед;Оптическая плотность
S117;Контроль;1,156;6;ед;Оптическая плотность
S117;Контроль;1,240;7;ед;Оптическая плотность
S117;Контроль;1,304;8;ед;Оптическая плотность
S117;Контроль;1,046;9;ед;Оптическая плотность
S117;Контроль;1,361;10;ед;Оптическая плотность
S117;Контроль;1,218;11;ед;Оптическая плотность
S117;Контроль;1,057;12;ед;Оптическая плотность
S117;Контроль;1,178;13;ед;Оптическая плотность
S117;Контроль;1,156;14;ед;Оптическая плотность
S117;Контроль;1,075;15;ед;Оптическая плотность
S117;Контроль;1,236;16;ед;Оптическая плотность
S117;Контроль;1,195;17;ед;Оптическая плотность
S117;Контроль;1,214;18;ед;Оптическая плотность
S117;Контроль;1,327;19;ед;Оптическая плотность
S117;Контроль;1,246;20;ед;Оптическая плотность
S117;Контроль;1,238;21;ед;Оптическая плотность
S117;Контроль;1,452;22;ед;Оптическая плотность
S117;Контроль;1,331;23;ед;Оптическая плотность
S117;Контроль;1,322;24;ед;Оптическая плотность
S118;Контроль;1,256;1;ед;Оптическая плотность
S118;Контроль;1,418;2;ед;Оптическая плотность
S118;Контроль;1,438;3;ед;Оптическая плотность
S118;Контроль;1,391;4;ед;Оптическая плотность
S118;Контроль;1,158;5;ед;Оптическая плотность
S118;Контроль;1,036;6;ед;Оптическая плотность
S118;Контроль;1,234;7;ед;Оптическая плотность
S118;Контроль;1,249;8;ед;Оптическая плотность
S118;Контроль;1,207;9;ед;Оптическая плотность
S118;Контроль;1,139;10;ед;Оптическая плотность
S118;Контроль;1,293;11;ед;Оптическая плотность
S118;Контроль;1,182;12;ед;Оптическая плотность
S118;Контроль;1,085;13;ед;Оптическая плотность
S118;Контроль;1,086;14;ед;Оптическая плотность
S118;Контроль;1,133;15;ед;Оптическая плотность
S118;Контроль;1,069;16;ед;Оптическая плотность
S118;Контроль;1,105;17;ед;Оптическая плотность
S118;Контроль;1,222;18;ед;Оптическая плотность
S118;Контроль;1,301;19;ед;Оптическая плотность
S118;Контроль;1,309;20;ед;Оптическая плотность
S118;Контроль;1,203;21;ед;Оптическая плотность
S118;Контроль;1,206;22;ед;Оптическая плотность
S118;Контроль;1,326;23;ед;Оптическая плотность
S118;Контроль;1,249;24;ед;Оптическая плотность
S201;Опыт;1,382;1;ед;Оптическая плотность
S201;Опыт;1,429;2;ед;Оптическая плотность
S201;Опыт;1,316;3;ед;Оптическая плотность
S201;Опыт;1,360;4;ед;Оптическая плотность
S201;Опыт;1,630;5;ед;Оптическая плотность
S201;Опыт;1,215;6;ед;Оптическая плотность
S201;Опыт;1,406;7;ед;Оптическая плотность
S201;Опыт;1,148;8;ед;Оптическая плотность
S201;Опыт;1,316;9;ед;Оптическая плотность
S201;Опыт;1,232;10;ед;Оптическая плотность
S201;Опыт;1,351;11;ед;Оптическая плотность
S201;Опыт;1,245;12;ед;Оптическая плотность
S201;Опыт;1,471;13;ед;Оптическая плотность
S201;Опыт;1,445;14;ед;Оптическая плотность
S201;Опыт;1,244;15;ед;Оптическая плотность
S201;Опыт;1,448;16;ед;Оптическая плотность
S201;Опыт;1,305;17;ед;Оптическая плотность
S201;Опыт;1,330;18;ед;Оптическая плотность
S201;Опыт;1,509;19;ед;Оптическая плотность
S201;Опыт;1,231;20;ед;Оптическая плотность
S201;Опыт;1,286;21;ед;Оптическая плотность
S201;Опыт;1,452;22;ед;Оптическая плотность
S201;Опыт;1,221;23;ед;Оптическая плотность
S201;Опыт;1,341;24;ед;Оптическая плотность
S202;Опыт;1,349;1;ед;Оптическая плотность
S202;Опыт;1,120;2;ед;Оптическая плотность
S202;Опыт;1,346;3;ед;Оптическая плотность
S202;Опыт;1,333;4;ед;Оптическая плотность
S202;Опыт;1,424;5;ед;Оптическая плотность
S202;Опыт;1,098;6;ед;Оптическая плотность
S202;Опыт;1,330;7;ед;Оптическая плотность
S202;Опыт;1,284;8;ед;Оптическая плотность
S202;Опыт;1,295;9;ед;Оптическая плотность
S202;Опыт;1,311;10;ед;Оптическая плотность
S202;Опыт;1,365;11;ед;Оптическая плотность
S202;Опыт;1,338;12;ед;Оптическая плотность
S202;Опыт;1,277;13;ед;Оптическая плотность
S202;Опыт;1,333;14;ед;Оптическая плотность
S202;Опыт;1,194;15;ед;Оптическая плотность
S202;Опыт;1,540;16;ед;Оптическая плотность
S202;Опыт;1,285;17;ед;Оптическая плотность
S202;Опыт;1,262;18;ед;Оптическая плотность
S202;Опыт;1,208;19;ед;Оптическая плотность
S202;Опыт;1,477;20;ед;Оптическая плотность
S202;Опыт;1,365;21;ед;Оптическая плотность
S202;Опыт;1,151;22;ед;Оптическая плотность
S202;Опыт;1,367;23;ед;Оптическая плотность
S202;Опыт;1,293;24;ед;Оптическая плотность
S203;Опыт;1,318;1;ед;Оптическая плотность
S203;Опыт;1,352;2;ед;Оптическая плотность
S203;Опыт;1,263;3;ед;Оптическая плотность
S203;Опыт;1,474;4;ед;Оптическая плотность
S203;Опыт;1,409;5;ед;Оптическая плотность
S203;Опыт;1,481;6;ед;Оптическая плотность
S203;Опыт;1,348;7;ед;Оптическая плотность
S203;Опыт;1,242;8;ед;Оптическая плотность
S203;Опыт;1,573;9;ед;Оптическая плотность
S203;Опыт;1,293;10;ед;Оптическая плотность
S203;Опыт;1,157;11;ед;Оптическая плотность
S203;Опыт;1,327;12;ед;Оптическая плотность
S203;Опыт;1,256;13;ед;Оптическая плотность
S203;Опыт;1,479;14;ед;Оптическая плотность
S203;Опыт;1,337;15;ед;Оптическая плотность
S203;Опыт;1,401;16;ед;Оптическая плотность
S203;Опыт;1,261;17;ед;Оптическая плотность
S203;Опыт;1,262;18;ед;Оптическая плотность
S203;Опыт;1,369;19;ед;Оптическая плотность
S203;Опыт;1,212;20;ед;Оптическая плотность
S203;Опыт;1,460;21;ед;Оптическая плотность
S203;Опыт;1,386;22;ед;Оптическая плотность
S203;Опыт;1,121;23;ед;Оптическая плотность
S203;Опыт;1,377;24;ед;Оптическая плотность
S204;Опыт;1,324;1;ед;Оптическая плотность
S204;Опыт;1,215;2;ед;Оптическая плотность
S204;Опыт;1,271;3;ед;Оптическая плотность
S204;Опыт;1,238;4;ед;Оптическая плотность
S204;Опыт;1,208;5;ед;Оптическая плотность
S204;Опыт;1,223;6;ед;Оптическая плотность
S204;Опыт;1,346;7;ед;Оптическая плотность
S204;Опыт;1,334;8;ед;Оптическая плотность
S204;Опыт;1,463;9;ед;Оптическая плотность
S204;Опыт;1,463;10;ед;Оптическая плотность
S204;Опыт;1,182;11;ед;Оптическая плотность
S204;Опыт;1,168;12;ед;Оптическая плотность
S204;Опыт;1,560;13;ед;Оптическая плотность
S204;Опыт;1,435;14;ед;Оптическая плотность
S204;Опыт;1,562;15;ед;Оптическая плотность
S204;Опыт;1,390;16;ед;Оптическая плотность
S204;Опыт;1,215;17;ед;Оптическая плотность
S204;Опыт;1,193;18;ед;Оптическая плотность
S204;Опыт;1,331;19;ед;Оптическая плотность
S204;Опыт;1,325;20;ед;Оптическая плотность
S204;Опыт;1,335;21;ед;Оптическая плотность
S204;Опыт;1,303;22;ед;Оптическая плотность
S204;Опыт;1,331;23;ед;Оптическая плотность
S204;Опыт;1,334;24;ед;Оптическая плотность
S205;Опыт;1,282;1;ед;Оптическая плотность
S205;Опыт;1,444;2;ед;Оптическая плотность
S205;Опыт;1,396;3;ед;Оптическая плотность
S205;Опыт;1,323;4;ед;Оптическая плотность
S205;Опыт;1,246;5;ед;Оптическая плотность
S205;Опыт;1,377;6;ед;Оптическая плотность
S205;Опыт;1,137;7;ед;Оптическая плотность
S205;Опыт;1,405;8;ед;Оптическая плотность
