entity,group,value,sequence,variable,unit
G1_07,Group 1,99.9936534139,4,outcome,unit
G1_07,Group 1,99.1311939906,5,outcome,unit
G1_07,Group 1,99.9481307266,6,outcome,unit
G1_07,Group 1,98.639057657,7,outcome,unit
G1_07,Group 1,99.3548356127,8,outcome,unit
G1_08,Group 1,100.795160191,1,outcome,unit
G1_08,Group 1,101.474372637,2,outcome,unit
G1_08,Group 1,99.613933808,3,outcome,unit
G1_08,Group 1,100.402861808,4,outcome,unit
G1_08,Group 1,99.6628814572,5,outcome,unit
G1_08,Group 1,100.382636173,6,outcome,unit
G1_08,Group 1,99.312632717,7,outcome,unit
G1_08,Group 1,101.074716438,8,outcome,unit
G1_09,Group 1,99.5664461389,1,outcome,unit
G1_09,Group 1,97.640657831,2,outcome,unit
G1_09,Group 1,99.7549770747,3,outcome,unit
G1_09,Group 1,99.4924280755,4,outcome,unit
G1_09,Group 1,100.176641244,5,outcome,unit
G1_09,Group 1,98.5226223353,6,outcome,unit
G1_09,Group 1,97.8427725779,7,outcome,unit
G1_09,Group 1,99.4374012354,8,outcome,unit
G1_10,Group 1,101.781254992,1,outcome,unit
G1_10,Group 1,100.461244251,2,outcome,unit
G1_10,Group 1,99.5933908988,3,outcome,unit
G1_10,Group 1,100.654554091,4,outcome,unit
G1_10,Group 1,100.141050234,5,outcome,unit
G1_10,Group 1,100.895557241,6,outcome,unit
G1_10,Group 1,100.148761749,7,outcome,unit
G1_10,Group 1,100.201375313,8,outcome,unit
G1_11,Group 1,99.143907014,1,outcome,unit
G1_11,Group 1,99.283899954,2,outcome,unit
G1_11,Group 1,98.9810335482,3,outcome,unit
G1_11,Group 1,99.8421569347,4,outcome,unit
G1_11,Group 1,99.9307694066,5,outcome,unit
G1_11,Group 1,99.5051310773,6,outcome,unit
G1_11,Group 1,99.1106350893,7,outcome,unit
G1_11,Group 1,101.65762013,8,outcome,unit
G1_12,Group 1,101.98431954,1,outcome,unit
G1_12,Group 1,102.883090732,2,outcome,unit
G1_12,Group 1,102.86584402,3,outcome,unit
G1_12,Group 1,102.646634282,4,outcome,unit
G1_12,Group 1,101.43006778,5,outcome,unit
G1_12,Group 1,103.739968791,6,outcome,unit
G1_12,Group 1,100.312609974,7,outcome,unit
G1_12,Group 1,103.888850268,8,outcome,unit
G1_13,Group 1,99.9898858195,1,outcome,unit
G1_13,Group 1,100.686538641,2,outcome,unit
G1_13,Group 1,99.6970641914,3,outcome,unit
G1_13,Group 1,99.1208064729,4,outcome,unit
G1_13,Group 1,98.8935818649,5,outcome,unit
G1_13,Group 1,99.6772772656,6,outcome,unit
G1_13,Group 1,99.1493141397,7,outcome,unit
G1_13,Group 1,99.8417015711,8,outcome,unit
G1_14,Group 1,100.209870483,1,outcome,unit
G1_14,Group 1,100.301567525,2,outcome,unit
G1_14,Group 1,101.180137412,3,outcome,unit
G1_14,Group 1,100.48985732,4,outcome,unit
G1_14,Group 1,100.17466674,5,outcome,unit
G1_14,Group 1,100.086398311,6,outcome,unit
G1_14,Group 1,100.738771836,7,outcome,unit
G1_14,Group 1,100.712521505,8,outcome,unit
G1_15,Group 1,99.5797207507,1,outcome,unit
G1_15,Group 1,99.6969539335,2,outcome,unit
G1_15,Group 1,99.308090525,3,outcome,unit
G1_15,Group 1,98.3819092825,4,outcome,unit
G1_15,Group 1,98.5690527123,5,outcome,unit
G1_15,Group 1,98.8083115592,6,outcome,unit
G1_15,Group 1,99.0548736574,7,outcome,unit
G1_15,Group 1,99.3317320824,8,outcome,unit
G1_16,Group 1,100.037922534,1,outcome,unit
G1_16,Group 1,99.2503053893,2,outcome,unit
G1_16,Group 1,100.821189033,3,outcome,unit
G1_16,Group 1,100.789105266,4,outcome,unit
G1_16,Group 1,100.536162928,5,outcome,unit
G1_16,Group 1,100.646773185,6,outcome,unit
G1_16,Group 1,100.759381636,7,outcome,unit
G1_16,Group 1,99.9661831314,8,outcome,unit
G1_17,Group 1,99.2594239688,1,outcome,unit
G1_17,Group 1,101.552566322,2,outcome,unit
G1_17,Group 1,99.9433496276,3,outcome,unit
G1_17,Group 1,99.3315439739,4,outcome,unit
G1_17,Group 1,99.1567117829,5,outcome,unit
G1_17,Group 1,102.603551258,6,outcome,unit
G1_17,Group 1,98.3255227026,7,outcome,unit
G1_17,Group 1,99.7786169965,8,outcome,unit
G1_18,Group 1,101.534027011,1,outcome,unit
G1_18,Group 1,98.5106240137,2,outcome,unit
G1_18,Group 1,100.890052845,3,outcome,unit
G1_18,Group 1,100.860534713,4,outcome,unit
G1_18,Group 1,98.0594188266,5,outcome,unit
G1_18,Group 1,98.9086812028,6,outcome,unit
G1_18,Group 1,98.1847134575,7,outcome,unit
G1_18,Group 1,99.7467563924,8,outcome,unit
G1_19,Group 1,98.1929232882,1,outcome,unit
G1_19,Group 1,99.6169934579,2,outcome,unit
G1_19,Group 1,100.082822756,3,outcome,unit
G1_19,Group 1,98.8306540967,4,outcome,unit
G1_19,Group 1,98.7740500046,5,outcome,unit
G1_19,Group 1,99.2182942439,6,outcome,unit
G1_19,Group 1,99.5828515378,7,outcome,unit
G1_19,Group 1,100.112417099,8,outcome,unit
G1_20,Group 1,101.473755848,1,outcome,unit
G1_20,Group 1,98.7005721581,2,outcome,unit
G1_20,Group 1,100.277675078,3,outcome,unit
G1_20,Group 1,99.2929353958,4,outcome,unit
G1_20,Group 1,100.232242897,5,outcome,unit
G1_20,Group 1,99.2363763831,6,outcome,unit
G1_20,Group 1,100.156623927,7,outcome,unit
G1_20,Group 1,99.4610118522,8,outcome,unit
G2_01,Group 2,105.655698809,1,outcome,unit
G2_01,Group 2,104.734726792,2,outcome,unit
G2_01,Group 2,103.958543884,3,outcome,unit
G2_01,Group 2,105.299819541,4,outcome,unit
G2_01,Group 2,102.449974354,5,outcome,unit
G2_01,Group 2,102.394677474,6,outcome,unit
G2_01,Group 2,102.593552353,7,outcome,unit
G2_01,Group 2,105.227729398,8,outcome,unit
G2_02,Group 2,104.247894626,1,outcome,unit
G2_02,Group 2,106.506825553,2,outcome,unit
G2_02,Group 2,105.978340829,3,outcome,unit
G2_02,Group 2,104.193892205,4,outcome,unit
G2_02,Group 2,105.119200665,5,outcome,unit
G2_02,Group 2,106.173751547,6,outcome,unit
G2_02,Group 2,103.499042196,7,outcome,unit
G2_02,Group 2,104.086088782,8,outcome,unit
G2_03,Group 2,99.7916216244,1,outcome,unit
G2_03,Group 2,101.182873976,2,outcome,unit
G2_03,Group 2,102.581516377,3,outcome,unit
G2_03,Group 2,103.659081426,4,outcome,unit
G2_03,Group 2,103.331937449,5,outcome,unit
G2_03,Group 2,102.074780483,6,outcome,unit
G2_03,Group 2,100.726846821,7,outcome,unit
G2_03,Group 2,102.12348464,8,outcome,unit
G2_04,Group 2,103.674176636,1,outcome,unit
G2_04,Group 2,101.184422158,2,outcome,unit
G2_04,Group 2,103.495447394,3,outcome,unit
G2_04,Group 2,101.725811266,4,outcome,unit
G2_04,Group 2,102.68314661,5,outcome,unit
G2_04,Group 2,100.591824243,6,outcome,unit
G2_04,Group 2,101.459552092,7,outcome,unit
G2_04,Group 2,101.910164673,8,outcome,unit
G2_05,Group 2,100.74814318,1,outcome,unit
G2_05,Group 2,99.6439258027,2,outcome,unit
G2_05,Group 2,100.645948792,3,outcome,unit
G2_05,Group 2,100.974190282,4,outcome,unit
G2_05,Group 2,102.286473967,5,outcome,unit
G2_05,Group 2,100.927380121,6,outcome,unit
G2_05,Group 2,101.306286857,7,outcome,unit
G2_05,Group 2,100.940975868,8,outcome,unit
G2_06,Group 2,99.2047561551,1,outcome,unit
G2_06,Group 2,100.747440088,2,outcome,unit
G2_06,Group 2,100.501513431,3,outcome,unit
G2_06,Group 2,101.3343774,4,outcome,unit
G2_06,Group 2,100.373491703,5,outcome,unit
G2_06,Group 2,101.179857945,6,outcome,unit
G2_06,Group 2,102.831526129,7,outcome,unit
G2_06,Group 2,101.762653792,8,outcome,unit
G2_07,Group 2,102.732624485,1,outcome,unit
G2_07,Group 2,104.159463277,2,outcome,unit
G2_07,Group 2,104.368731121,3,outcome,unit
G2_07,Group 2,101.199284379,4,outcome,unit
G2_07,Group 2,104.815095833,5,outcome,unit
G2_07,Group 2,103.701529418,6,outcome,unit
G2_07,Group 2,102.038731185,7,outcome,unit
G2_07,Group 2,100.887985012,8,outcome,unit
G2_08,Group 2,103.903920165,1,outcome,unit
G2_08,Group 2,105.789609346,2,outcome,unit
G2_08,Group 2,103.509435457,3,outcome,unit
G2_08,Group 2,102.474711248,4,outcome,unit
G2_08,Group 2,104.086805081,5,outcome,unit
G2_08,Group 2,102.104691744,6,outcome,unit
G2_08,Group 2,104.256422667,7,outcome,unit
G2_08,Group 2,101.746959252,8,outcome,unit
G2_09,Group 2,104.57605026,1,outcome,unit
G2_09,Group 2,102.831526747,2,outcome,unit
G2_09,Group 2,102.616208882,3,outcome,unit
G2_09,Group 2,103.251785182,4,outcome,unit
G2_09,Group 2,102.783204776,5,outcome,unit
G2_09,Group 2,104.27630027,6,outcome,unit
G2_09,Group 2,102.928211558,7,outcome,unit
G2_09,Group 2,101.315606611,8,outcome,unit
G2_10,Group 2,104.47297503,1,outcome,unit
G2_10,Group 2,103.773327353,2,outcome,unit
G2_10,Group 2,104.334092784,3,outcome,unit
G2_10,Group 2,102.436948889,4,outcome,unit
G2_10,Group 2,103.544721037,5,outcome,unit
G2_10,Group 2,104.028212622,6,outcome,unit
G2_10,Group 2,102.402025372,7,outcome,unit
G2_10,Group 2,103.282471339,8,outcome,unit
G2_11,Group 2,102.028505586,1,outcome,unit
G2_11,Group 2,101.063113988,2,outcome,unit
G2_11,Group 2,101.308062383,3,outcome,unit
G2_11,Group 2,103.449212207,4,outcome,unit
G2_11,Group 2,105.211024187,5,outcome,unit
G2_11,Group 2,104.411738954,6,outcome,unit
G2_11,Group 2,103.921550753,7,outcome,unit
G2_11,Group 2,105.88709961,8,outcome,unit
G2_12,Group 2,102.296210824,1,outcome,unit
G2_12,Group 2,102.761065561,2,outcome,unit
G2_12,Group 2,102.169324087,3,outcome,unit
G2_12,Group 2,101.691220817,4,outcome,unit
G2_12,Group 2,102.5921424,5,outcome,unit
G2_12,Group 2,103.632467246,6,outcome,unit
G2_12,Group 2,101.020842509,7,outcome,unit
G2_12,Group 2,104.785098295,8,outcome,unit
G2_13,Group 2,104.21472905,1,outcome,unit
G2_13,Group 2,104.85172159,2,outcome,unit
G2_13,Group 2,103.018908128,3,outcome,unit
G2_13,Group 2,104.095694083,4,outcome,unit
G2_13,Group 2,104.314200655,5,outcome,unit
G2_13,Group 2,104.503542049,6,outcome,unit
G2_13,Group 2,103.697981172,7,outcome,unit
G2_13,Group 2,104.870978203,8,outcome,unit
G2_14,Group 2,103.176638972,1,outcome,unit
G2_14,Group 2,104.176931508,2,outcome,unit
G2_14,Group 2,104.300278675,3,outcome,unit
G2_14,Group 2,106.585051121,4,outcome,unit
G2_14,Group 2,103.673425103,5,outcome,unit
G2_14,Group 2,103.416919914,6,outcome,unit
G2_14,Group 2,106.876792361,7,outcome,unit
G2_14,Group 2,103.231102808,8,outcome,unit
G2_15,Group 2,98.8754628788,1,outcome,unit
G2_15,Group 2,99.6384056026,2,outcome,unit
G2_15,Group 2,98.9615080378,3,outcome,unit
G2_15,Group 2,100.298360268,4,outcome,unit
G2_15,Group 2,101.796300155,5,outcome,unit
G2_15,Group 2,100.393069051,6,outcome,unit
G2_15,Group 2,101.540365869,7,outcome,unit
G2_15,Group 2,101.766020092,8,outcome,unit
G2_16,Group 2,103.739943999,1,outcome,unit
G2_16,Group 2,105.445581045,2,outcome,unit
G2_16,Group 2,106.754262559,3,outcome,unit
G2_16,Group 2,103.672604145,4,outcome,unit
G2_16,Group 2,102.928531656,5,outcome,unit
G2_16,Group 2,105.981756159,6,outcome,unit
G2_16,Group 2,104.043828416,7,outcome,unit
G2_16,Group 2,102.413755044,8,outcome,unit
G2_17,Group 2,104.074934041,1,outcome,unit
G2_17,Group 2,102.107971359,2,outcome,unit
G2_17,Group 2,100.33363078,3,outcome,unit
G2_17,Group 2,99.8163447491,4,outcome,unit
G2_17,Group 2,100.249211978,5,outcome,unit
G2_17,Group 2,101.669115812,6,outcome,unit
G2_17,Group 2,102.710116114,7,outcome,unit
G2_17,Group 2,101.622611838,8,outcome,unit
G2_18,Group 2,103.76823022,1,outcome,unit
G2_18,Group 2,103.494212972,2,outcome,unit
G2_18,Group 2,103.469387924,3,outcome,unit
G2_18,Group 2,103.336337419,4,outcome,unit
G2_18,Group 2,104.289955031,5,outcome,unit
G2_18,Group 2,103.745908298,6,outcome,unit
G2_18,Group 2,101.912762027,7,outcome,unit
G2_18,Group 2,102.742968884,8,outcome,unit
G2_19,Group 2,101.047730904,1,outcome,unit
G2_19,Group 2,99.9387847182,2,outcome,unit
G2_19,Group 2,99.1590083013,3,outcome,unit
G2_19,Group 2,99.0404088292,4,outcome,unit
G2_19,Group 2,99.0591884798,5,outcome,unit
G2_19,Group 2,100.8347553,6,outcome,unit
G2_19,Group 2,101.632541008,7,outcome,unit
G2_19,Group 2,101.259547765,8,outcome,unit
G2_20,Group 2,101.321020902,1,outcome,unit
G2_20,Group 2,104.310992999,2,outcome,unit
G2_20,Group 2,101.334052685,3,outcome,unit
G2_20,Group 2,98.7976681286,4,outcome,unit
G2_20,Group 2,101.805869171,5,outcome,unit
G2_20,Group 2,100.314848096,6,outcome,unit
G2_20,Group 2,101.05810706,7,outcome,unit
G2_20,Group 2,100.729983521,8,outcome,unit
